architecture,optimizer,activation,training accuracy,testing accuracy,time elapsed
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.rmsprop.RMSprop'>,ELU(alpha=1.0),8.989999771118164,8.829999923706055,280
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.rmsprop.RMSprop'>,LeakyReLU(negative_slope=0.01),10.807999610900879,11.09000015258789,279
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.rmsprop.RMSprop'>,ReLU(inplace=True),10.0,10.0,278
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.rmsprop.RMSprop'>,PReLU(num_parameters=1),12.621999740600586,12.630000114440918,282
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.rmsprop.RMSprop'>,CELU(alpha=1.0),10.977999687194824,10.429999351501465,280
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.rmsprop.RMSprop'>,Softplus(beta=1; threshold=20),10.0,10.0,279
<function resnet18 at 0x7fcb7bb657b8>,<class 'torch.optim.rmsprop.RMSprop'>,ELU(alpha=1.0),16.623998641967773,16.529998779296875,386
<function resnet18 at 0x7fcb7bb657b8>,<class 'torch.optim.rmsprop.RMSprop'>,LeakyReLU(negative_slope=0.01),22.555999755859375,22.84000015258789,387
<function resnet18 at 0x7fcb7bb657b8>,<class 'torch.optim.rmsprop.RMSprop'>,ReLU(inplace=True),15.047999382019043,14.859999656677246,385
<function resnet18 at 0x7fcb7bb657b8>,<class 'torch.optim.rmsprop.RMSprop'>,PReLU(num_parameters=1),18.489999771118164,18.729999542236328,393
<function resnet18 at 0x7fcb7bb657b8>,<class 'torch.optim.rmsprop.RMSprop'>,CELU(alpha=1.0),10.394000053405762,10.399999618530273,385
<function resnet18 at 0x7fcb7bb657b8>,<class 'torch.optim.rmsprop.RMSprop'>,Softplus(beta=1; threshold=20),10.0,10.0,385
architecture,optimizer,activation,training accuracy,testing accuracy,time elapsed

<function vgg16_bn at 0x7fdafed5a048>,<class 'torch.optim.adam.Adam'>,ELU(alpha=1.0),80.54199981689453,75.94999694824219,1019
<function vgg16_bn at 0x7fdafed5a048>,<class 'torch.optim.adam.Adam'>,LeakyReLU(negative_slope=0.01),84.47799682617188,79.93000030517578,1074
<function vgg16_bn at 0x7fdafed5a048>,<class 'torch.optim.adam.Adam'>,ReLU(inplace=True),66.75199890136719,63.71999740600586,1070
<function vgg16_bn at 0x7fdafed5a048>,<class 'torch.optim.adam.Adam'>,PReLU(num_parameters=1),65.09600067138672,61.04999923706055,1025
<function vgg16_bn at 0x7fdafed5a048>,<class 'torch.optim.adam.Adam'>,CELU(alpha=1.0),82.97200012207031,77.75999450683594,1058
<function vgg16_bn at 0x7fdafed5a048>,<class 'torch.optim.adam.Adam'>,Softplus(beta=1; threshold=20),77.7959976196289,73.5999984741211,1055
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.adam.Adam'>,ELU(alpha=1.0),10.0,10.0,289
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.adam.Adam'>,LeakyReLU(negative_slope=0.01),10.0,10.0,289
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.adam.Adam'>,ReLU(inplace=True),10.0,10.0,295
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.adam.Adam'>,PReLU(num_parameters=1),10.0,10.0,296
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.adam.Adam'>,CELU(alpha=1.0),10.0,10.0,293
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.adam.Adam'>,Softplus(beta=1; threshold=20),10.0,10.0,297
<function resnet18 at 0x7fdafed557b8>,<class 'torch.optim.adam.Adam'>,ELU(alpha=1.0),76.16199493408203,70.38999938964844,402
<function resnet18 at 0x7fdafed557b8>,<class 'torch.optim.adam.Adam'>,LeakyReLU(negative_slope=0.01),91.16199493408203,73.18000030517578,405
<function resnet18 at 0x7fdafed557b8>,<class 'torch.optim.adam.Adam'>,ReLU(inplace=True),91.97000122070312,73.62999725341797,407
<function resnet18 at 0x7fdafed557b8>,<class 'torch.optim.adam.Adam'>,PReLU(num_parameters=1),77.65799713134766,62.43000030517578,411
