architecture,optimizer,activation,training accuracy,testing accuracy,time elapsed
<function vgg16_bn at 0x7fbb979b22f0>,<class 'torch.optim.adam.Adam'>,ReLU(inplace=True),88.33200073242188,81.47000122070312,1567
<function vgg16_bn at 0x7fbb979b22f0>,<class 'torch.optim.adam.Adam'>,PReLU(num_parameters=1),92.83799743652344,83.0999984741211,1543
<function vgg16_bn at 0x7fbb979b22f0>,<class 'torch.optim.adam.Adam'>,CELU(alpha=1.0),96.01599884033203,84.72000122070312,1610
<function vgg16_bn at 0x7fbb979b22f0>,<class 'torch.optim.adam.Adam'>,Softplus(beta=1; threshold=20),95.38599395751953,82.75,1623
<function vgg16_bn at 0x7fbb979b22f0>,<class 'torch.optim.rmsprop.RMSprop'>,ELU(alpha=1.0),10.0,10.0,1542
<function vgg16_bn at 0x7fbb979b22f0>,<class 'torch.optim.rmsprop.RMSprop'>,LeakyReLU(negative_slope=0.01),10.0,10.0,1581
<function vgg16_bn at 0x7fbb979b22f0>,<class 'torch.optim.rmsprop.RMSprop'>,ReLU(inplace=True),10.0,10.0,1555
<function vgg16_bn at 0x7fbb979b22f0>,<class 'torch.optim.rmsprop.RMSprop'>,PReLU(num_parameters=1),10.0,10.0,1565
<function vgg16_bn at 0x7fbb979b22f0>,<class 'torch.optim.rmsprop.RMSprop'>,CELU(alpha=1.0),10.0,10.0,1529
<function vgg16_bn at 0x7fbb979b22f0>,<class 'torch.optim.rmsprop.RMSprop'>,Softplus(beta=1; threshold=20),10.0,10.0,1524
<function vgg16_bn at 0x7fce7a7c1d08>,<class 'torch.optim.sgd.SGD'>,ELU(alpha=1.0),81.69400024414062,75.00999450683594,1491
<function vgg16_bn at 0x7fce7a7c1d08>,<class 'torch.optim.sgd.SGD'>,LeakyReLU(negative_slope=0.01),77.76399993896484,71.83999633789062,1530
<function vgg16_bn at 0x7fce7a7c1d08>,<class 'torch.optim.sgd.SGD'>,ReLU(inplace=True),85.4219970703125,78.61000061035156,1534
<function vgg16_bn at 0x7fce7a7c1d08>,<class 'torch.optim.sgd.SGD'>,PReLU(num_parameters=1),82.75399780273438,76.93999481201172,1471
<function vgg16_bn at 0x7fce7a7c1d08>,<class 'torch.optim.sgd.SGD'>,CELU(alpha=1.0),85.90999603271484,78.75,1509
<function vgg16_bn at 0x7fce7a7c1d08>,<class 'torch.optim.sgd.SGD'>,Softplus(beta=1; threshold=20),79.9280014038086,73.97000122070312,1494
